smv,no_of_workers,quantity
26.16,59,1018
3.94,8,864
11.41,30.5,1027
11.41,30.5,1027
25.9,56,831
25.9,56,830
3.94,8,736
28.08,57.5,741
19.87,55,1001
28.08,57.5,738
28.08,57.5,709
19.31,54,956
11.41,30.5,907
3.94,8,688
2.9,8,896
3.94,18,1301
2.9,8,716
23.69,60,634
4.15,12,606
4.15,20,2286
2.9,17,2780
4.15,8,885
3.94,8,921
3.94,8,880
28.08,56.5,773
28.08,54.5,746
26.16,59,866
26.16,59,866
11.61,29.5,976
11.61,31.5,1042
25.9,56,830
25.9,56,830
19.31,54,1057
4.15,8,724
19.87,55,997
4.15,8,649
23.69,60,851
28.08,57.5,688
2.9,8,832
3.94,8,609
4.15,8,917
3.94,8,908
3.94,8,892
11.61,31,1127
3.94,20,2100
26.16,59,921
25.9,56.5,890
25.9,56.5,890
28.08,55.5,760
26.16,59,866
28.08,55.5,759
11.61,31,1025
3.94,8,772
3.94,18,1665
19.31,54,1007
19.87,55,997
28.08,57.5,688
2.9,8,904
2.9,8,884
45.67,58,368
4.15,8,320
3.94,8,937
3.94,10,1145
3.94,16,1742
4.15,8,810
26.16,59,921
2.9,8,1087
3.94,8,784
25.9,56.5,838
25.9,56.5,838
26.16,59,866
19.31,55,1094
11.61,32,1059
11.61,32,1059
28.08,57.5,786
28.08,57.5,786
2.9,8,1011
2.9,8,1005
28.08,58.5,750
19.87,55,997
3.94,8,659
2.9,8,880
21.98,58,760
3.94,18,2120
3.94,8,913
4.15,10,1040
4.15,15,1542
3.94,8,836
26.16,59,921
26.16,59,921
3.94,8,789
3.94,8,785
28.08,57.5,787
28.08,57.5,787
19.87,55,1063
11.61,31.5,1042
25.9,56.5,838
25.9,56.5,838
11.61,31.5,1042
28.08,58.5,751
19.31,55,1025
2.9,8,902
21.98,58,823
2.9,8,816
3.94,8,927
3.94,8,858
26.16,59,921
26.16,59,921
25.9,56.5,890
4.15,15,1440
3.94,18,1814
3.94,8,793
3.94,8,785
2.9,8,1065
28.08,57.5,787
28.08,57.5,787
11.41,30.5,1027
19.87,55,1063
11.61,31.5,1042
25.9,56.5,838
28.08,58.5,800
21.98,58,887
2.9,8,902
2.9,10,1103
31.83,55,342
4.15,8,305
3.94,8,924
3.94,20,2241
26.16,59,975
3.94,8,869
26.16,59,921
28.08,58.5,850
25.9,56.5,890
25.9,56.5,890
3.94,8,815
4.15,8,760
28.08,58.5,800
19.87,55,1063
11.61,31.5,1042
11.41,30.5,1027
28.08,58.5,800
3.94,8,760
2.9,8,975
4.15,12,989
2.9,8,902
4.15,5,298
12.52,54,725
42.41,57,151
3.94,8,960
4.15,12,1291
3.94,20,2221
3.94,8,836
26.16,59,921
25.9,56.5,890
25.9,56.5,890
3.94,8,825
4.15,8,756
3.94,8,796
28.08,58,794
28.08,57.5,787
11.61,31.5,1042
11.41,30.5,1027
26.16,59,866
28.08,58.5,800
19.87,56,1015
12.52,53,1368
2.9,8,887
2.9,8,833
20.79,56,502
4.15,8,313
4.15,8,865
3.94,20,2255
26.16,59,975
3.94,8,851
3.94,8,836
26.16,59,921
25.9,56.5,890
25.9,56.5,890
3.94,8,807
3.94,8,800
11.41,30.5,1027
11.61,31.5,1042
28.08,58.5,800
28.08,58.5,800
19.87,55,917
4.15,8,618
2.9,8,865
4.15,8,564
12.52,53,1220
2.9,8,791
2.9,8,782
50.48,58,261
20.79,57,596
3.94,8,931
4.3,18,1893
4.15,10,1047
3.94,8,858
3.94,8,836
26.16,59,921
26.16,59,921
25.9,56.5,890
25.9,56.5,890
2.9,8,1082
4.15,8,749
19.87,55,1063
11.41,31.5,1060
11.61,31.5,1042
28.08,58.5,800
2.9,8,960
50.48,58.5,383
20.79,59,885
12.52,53,1321
2.9,8,858
4.15,8,593
22.4,51.5,387
3.94,8,240
4.3,12,1275
3.94,2,232
3.94,20,2224
4.15,9,938
3.94,8,836
26.16,59,921
26.16,59,921
25.9,57,898
25.9,56.5,890
4.15,8,760
3.94,8,785
11.61,31.5,1042
11.61,31.5,1042
28.08,58.5,800
42.27,55,441
2.9,8,902
2.9,8,887
4.15,8,556
27.13,53,546
20.79,58,705
22.4,56.5,606
22.4,56.5,424
4.15,7,757
4.3,8,811
25.9,56.5,943
3.94,8,869
4.15,15,1500
3.94,8,836
26.16,59,921
25.9,56.5,890
2.9,8,1109
4.15,7,665
11.61,31.5,1042
11.61,31.5,1042
26.16,59,866
20.79,58,938
2.9,8,884
22.4,57,733
22.4,56.5,605
14.61,55,633
3.94,8,324
51.02,57,167
3.94,8,241
4.3,20,2207
3.94,19,2206
3.94,8,862
4.15,8,796
3.94,8,836
26.16,59,921
25.9,56.5,890
25.9,56.5,890
26.16,59,866
11.61,31.5,1042
11.61,31.5,1042
20.79,58,937
2.9,8,913
22.52,56.5,796
22.52,56,776
2.9,8,804
22.52,56.5,723
14.89,55,887
22.94,54.5,570
4.15,15,1713
3.94,10,1195
3.94,8,950
3.94,8,862
3.94,10,1007
11.41,30.5,1027
11.61,31.5,1042
25.9,56.5,838
25.9,56.5,838
48.68,59,465
26.16,59,866
22.94,56.5,910
22.52,56.5,844
2.9,8,895
2.9,8,876
22.52,54,748
22.52,56.5,723
14.89,56,1084
2.9,5,385
41.19,58,306
4.15,7,254
4.15,8,789
4.15,12,1164
2.9,10,1332
11.41,30.5,1027
48.84,56.5,444
25.9,56.5,838
26.16,59,866
22.52,56.5,844
22.52,56,836
2.9,8,916
26.87,31.5,373
22.52,56.5,783
14.89,57,1195
22.94,56.5,769
2.9,8,847
20.4,58,819
3.94,10,709
49.1,57.5,227
3.94,8,230
4.3,28,3055
3.94,10,1175
4.15,8,887
11.41,31,1044
25.9,56.5,838
26.16,59,866
2.9,8,1051
22.94,56.5,887
22.52,57,911
22.52,56.5,903
22.52,56,895
14.89,57,1287
2.9,8,905
20.4,58,887
48.84,57,323
22.94,56.5,650
3.94,8,525
4.15,8,379
15.26,34,375
4.15,8,956
11.41,31,1044
25.9,56.5,838
26.16,59,866
22.52,57,911
22.52,56,895
22.52,57,911
22.94,57,895
3.94,10,887
14.89,57,1287
20.4,57,939
2.9,8,847
15.26,34,535
22.94,56,469
4.15,15,629
4.3,20,2185
3.94,17,1889
22.52,56,1075
11.61,89,3129
3.94,8,806
25.9,56.5,838
22.94,57,955
22.52,56,955
4.15,8,702
20.4,58,1024
22.52,57,911
14.89,57,1287
22.94,57,835
15.26,34,642
2.9,8,788
54.56,58,265
3.94,8,492
22.52,56,597
4.15,9,490
3.94,10,1167
3.94,14,1604
22.52,56,1015
22.94,57,955
11.61,32,1059
22.52,56,955
22.94,57,895
22.52,57,911
4.15,15,1289
20.4,58,956
14.89,57,1287
4.3,15,1122
3.94,25,1979
3.94,25,1979
2.9,8,830
15.26,34,642
22.52,57,729
40.99,56.5,368
29.12,58,479
3.94,20,1122
2.9,8,527
4.08,9,347
4.15,15,1677
3.94,10,1142
2.9,9,1356
22.94,57,1074
22.52,57,1094
4.15,10,1036
3.94,8,873
3.94,12,1273
4.08,9,909
22.94,57,955
22.52,56,956
11.61,32,1059
22.52,57,972
15.26,34,802
42.97,57,478
20.4,58,956
4.3,12,873
22.52,56.5,783
29.12,58,574
3.94,8,564
3.94,8,564
15.09,52,579
3.94,8,255
4.15,17,1915
3.94,8,945
3.94,8,945
3.94,9,1055
3.94,19,2211
4.3,12,1275
22.52,57,1094
22.94,58.5,1041
22.94,58.5,980
22.52,57.5,981
11.61,32,1059
22.52,56,955
3.94,14,1278
22.52,56.5,844
15.26,34,749
20.4,58,956
29.12,58,622
4.08,9,655
42.97,57,376
15.09,52,827
2.9,4,218
3.94,10,1291
3.94,21,2553
4.3,12,1291
4.15,15,1664
3.94,10,1109
3.94,10,1109
22.52,56.5,1024
11.61,32,1059
22.52,57,972
22.94,57,954
22.94,58,971
22.52,56,955
4.08,9,815
20.4,58,1024
29.12,58,670
15.26,34,749
3.94,8,630
15.09,52,993
28.08,57,341
22.52,57,1215
22.52,57,1215
3.94,12,1432
4.3,12,1260
4.15,12,1286
22.52,56,1074
3.94,12,1260
22.52,56.5,1024
3.94,8,824
4.15,9,857
4.15,8,744
22.94,58,971
3.94,10,960
3.94,10,948
29.12,58,670
15.26,34,749
15.09,52,1076
30.4,32,315
2.9,8,824
20.79,58,670
48.18,54,199
22.52,57,1215
22.52,57,1215
2.9,15,2427
3.94,10,1152
3.94,15,1649
22.52,56,1015
22.94,58,1032
3.94,10,1024
20.79,58,1072
22.52,56.5,964
4.08,9,800
29.12,58,718
15.26,35,826
4.3,12,968
4.15,8,512
20.1,54,646
38.09,52,306
18.79,32,358
3.94,8,396
23.54,55,320
2.9,8,343
22.52,57,1215
4.3,10,1104
22.52,57,1154
22.52,57.5,1104
22.52,56,1074
2.9,10,1488
4.15,8,812
2.9,8,1145
3.94,10,1044
3.94,10,1040
22.94,58,1032
29.12,58,813
20.79,59,1090
3.94,10,942
15.26,35,826
4.08,9,672
20.1,51,731
18.79,33,422
3.94,8,480
23.54,55,547
22.52,58,1237
22.52,57,1215
3.94,10,1184
3.94,8,947
3.94,10,1184
3.94,10,1184
3.94,15,1776
3.94,2,237
4.08,9,1029
3.94,2,237
3.94,10,1184
3.94,8,947
3.94,5,592
3.94,10,1184
22.52,56,1098
22.52,57.5,1104
29.12,57,799
22.94,58,1032
15.26,35,826
50.89,59,365
20.1,54,838
18.79,33,506
23.54,56,444
23.54,54,316
4.15,8,936
22.52,57.5,1226
22.94,58.5,1225
3.94,19,2200
22.52,57,1154
3.94,10,1112
3.94,18,1956
3.94,10,1080
22.52,56,1015
22.52,58.5,1060
4.3,12,1132
29.12,58,718
15.26,35,826
4.08,9,744
20.1,54,903
18.79,33,549
24.26,55,508
24.26,56,456
2.9,10,520
22.94,58.5,1225
3.94,8,969
22.52,58.5,1122
22.52,57,1094
22.52,56,1074
3.94,10,1044
4.3,12,1084
15.26,35,881
22.52,56.5,964
29.12,58,765
4.08,9,784
20.55,54,883
18.79,33,590
4.15,8,520
3.94,19,1168
30.1,58,463
24.26,56,327
2.9,10,464
24.26,55,284
3.94,20,2440
22.52,57.5,1226
22.52,56,1194
3.94,10,1212
4.15,8,904
22.52,57,1154
22.52,58,1174
3.94,11,1233
22.52,56.5,964
15.26,35,881
4.08,9,824
29.12,58,718
25.31,54,717
18.79,33.5,599
24.26,55.5,644
24.26,56,600
4.3,12,720
2.9,8,656
30.1,58,384
22.52,57.5,1287
22.52,57,1215
22.52,56,1194
3.94,18,2120
3.94,10,1132
4.15,25,2648
22.52,57.5,1103
15.26,34,856
22.52,58,989
3.94,8,760
3.94,8,736
18.79,33,591
24.26,58,804
10.05,53,1773
29.12,57,658
4.08,9,728
30.1,58.5,607
2.9,8,704
30.1,55.5,310
22.52,56.5,1205
22.52,57.5,1226
22.52,56,1194
3.94,22,2680
22.52,57,1154
2.9,8,1248
4.08,9,960
3.94,10,1032
3.94,12,1236
15.26,34,856
29.12,58,765
3.94,8,752
10.05,26,932
18.79,33,590
30.1,58,520
24.26,58,600
30.1,53,423
24.26,57,560
3.94,25,3200
22.52,58,1236
22.52,57,1154
22.52,57,1094
22.52,56,1074
4.08,9,952
3.94,10,1060
2.9,8,1120
15.26,34,856
29.12,58,765
3.94,8,752
18.79,33,633
10.05,27,967
3.94,10,872
24.26,58,760
30.1,57,546
30.1,59,513
4.3,8,400
24.26,57,412
22.52,57.5,1226
4.15,12,1289
22.52,56,1075
22.52,56.5,1084
22.52,56,1074
3.94,10,1088
4.08,9,944
3.94,18,1920
4.15,15,1459
15.26,34,856
29.12,58,765
18.79,33,633
10.05,27,967
30.1,58.5,654
2.9,8,808
3.94,8,592
30.1,56.5,512
24.26,58,408
24.26,57,398
3.94,18,2320
3.94,10,1172
22.52,56,1075
22.52,57,1094
22.52,57,1094
2.9,8,1176
15.26,34,856
22.52,57,972
29.12,58,765
30.1,57,718
10.05,54,1936
4.15,15,1227
30.1,58,648
3.94,8,680
18.79,34,532
30.1,58,324
30.1,58,324
4.08,9,288
4.08,9,1064
3.94,18,2120
22.52,56,1075
22.52,57,1094
22.52,57,1094
22.52,57,1093
3.94,12,1248
29.12,58,766
15.26,34,856
4.15,15,1382
18.79,34,652
10.05,54,1936
30.1,58,694
4.15,8,651
30.1,58,648
3.94,8,672
2.9,8,832
30.1,58,463
30.1,58,364
4.15,15,1792
4.08,9,1080
22.52,57.5,1226
22.52,57,1215
4.15,12,1380
3.94,18,2000
4.15,2,201
22.52,56,1015
18.79,34,696
15.26,34,856
29.12,58,765
30.1,59.5,712
30.1,58,661
30.1,59.5,665
3.94,12,904
30.1,58,555
3.94,8,528
22.52,57,652
11.41,52,1111
22.52,57,1337
4.15,15,1903
22.52,57.5,1226
4.08,9,888
15.26,34,856
4.15,12,1049
30.1,59,706
18.79,33,580
3.94,12,972
3.94,8,640
30.1,59,600
3.94,18,1320
4.15,2,134
30.1,59,504
11.41,55,1157
29.12,58,476
30.1,59,436
22.52,50,470
30.1,58,324
22.52,57,1215
4.15,15,1612
4.15,20,2089
4.08,9,848
15.26,34,856
22.52,57,972
3.94,12,1164
30.1,59,706
30.1,59,706
4.15,8,671
30.1,60,670
30.1,60,576
11.41,55,1389
18.79,34,484
30.1,58,463
2.9,8,640
3.94,8,232
3.94,8,1092
3.94,8,1080
22.52,57,1215
4.08,9,928
15.26,34,856
4.15,2,176
30.1,59.5,686
2.9,10,1184
30.1,59,659
30.1,59,659
18.79,34,592
11.41,53,1450
4.15,8,560
2.9,8,800
30.1,59.5,568
30.1,58,440
22.52,57.5,530
4.15,20,664
18.79,54,390
22.52,57,1215
3.94,10,1170
4.08,9,944
4.15,8,800
30.1,58,742
30.1,59,754
15.26,34,856
2.9,8,1024
18.79,33,633
30.1,58,694
4.15,15,1253
30.1,59,659
4.15,10,728
30.1,59,585
11.41,54,1286
18.22,44,412
18.79,54,455
4.15,15,448
22.52,57,1215
3.94,8,904
5.13,10,855
5.13,9,760
15.26,34,856
5.13,15,1104
18.79,33,633
30.1,58,694
2.9,8,992
30.1,59,659
11.41,56,1651
30.1,58,648
5.13,8,492
30.1,59,615
18.79,51,847
29.4,58,569
3.94,8,571
5.13,15,816
30.33,56,320
18.22,49,390
5.13,10,928
2.9,12,1861
5.13,12,1032
11.41,56,1934
30.1,58,741
30.1,59,754
15.26,34,856
22.52,57,972
18.79,33,633
30.1,59,706
5.13,8,550
30.1,58,648
18.79,51,912
5.13,8,503
3.94,8,624
5.13,8,434
3.94,8,536
30.33,57,296
19.68,47,348
5.13,8,192
29.4,57,234
5.13,12,917
15.26,34,856
22.52,57,973
30.1,58.5,746
30.1,59.5,759
2.9,18,2341
18.79,33,633
3.94,10,893
5.13,15,997
30.1,58,648
11.41,58,1709
29.4,57,651
5.13,8,512
5.13,8,503
18.79,51,832
5.13,8,473
30.1,59,575
5.13,9,513
30.33,57,528
19.68,48,292
5.13,15,1224
2.9,8,1102
5.13,20,1553
2.9,12,1600
15.26,34,856
30.1,59,753
5.13,10,733
3.94,10,918
18.79,33,633
3.94,12,1063
29.4,57,652
30.33,57,632
11.41,58,1640
18.79,57,913
30.1,58,580
21.25,50,516
30.1,58,364
3.94,8,376
30.1,60,294
5.13,8,213
3.94,20,2329
5.13,8,696
5.13,9,760
5.13,18,1467
15.26,34,856
30.1,59,753
30.1,59,753
30.1,58,694
18.79,33,633
11.41,58,1831
30.33,58,643
29.4,57,652
29.4,58,663
18.79,50,768
21.25,50,472
2.9,8,492
2.9,8,492
5.13,8,276
5.13,8,267
2.9,15,2240
4.6,12,1016
15.26,34,856
30.1,60,766
30.1,59,753
4.6,8,661
30.1,59,706
18.79,33,633
11.61,57,1768
29.4,60,735
2.9,15,1805
2.9,15,1805
30.33,59,654
29.4,58,663
18.79,52,930
2.9,8,668
21.25,53,564
3.9,8,320
22.53,42,240
18.79,52,1290
4.6,9,848
4.6,20,1880
4.6,15,1408
2.9,10,1400
30.1,59,753
15.26,34,856
30.1,59,753
18.79,33,633
11.61,57,1769
29.4,58,710
29.4,58,663
30.33,58,643
21.82,52,801
4.6,8,565
4.6,8,550
30.1,59,563
22.53,42,520
3.9,8,434
2.9,8,544
2.9,8,544
4.6,15,1443
4.6,18,1731
30.1,59,753
11.61,57,1886
15.26,34,856
3.94,8,749
18.79,33,633
29.4,57,698
18.79,52,997
29.4,58,710
21.82,52,801
30.33,58,608
4.6,9,555
3.9,8,548
30.1,59,466
27.48,57,448
2.9,8,544
2.9,8,540
26.66,55,375
4.6,8,314
2.9,8,360
4.6,15,1443
4.6,18,1731
11.61,58,1920
15.26,34,856
30.1,59,753
3.94,8,749
29.4,57,699
18.79,33,633
29.4,58,711
18.79,52,997
21.82,51,786
30.33,58,643
4.6,9,555
3.9,8,548
27.48,57,548
26.66,57,565
26.66,58,522
2.9,8,544
2.9,8,540
4.6,8,314
2.9,8,360
4.6,25,2443
4.6,8,679
15.26,34,856
29.4,57,699
18.79,33,633
29.4,57,698
18.79,52,997
27.48,56,692
21.82,52,801
26.66,57,718
30.33,58,627
11.61,57,1608
3.94,8,656
2.9,8,880
26.66,57,616
3.9,8,576
30.1,58,536
3.94,8,437
2.9,8,592
4.6,8,293
3.9,10,1143
4.6,24,2155
3.94,8,786
26.66,57,822
15.26,34,856
2.9,10,1325
11.61,57,1886
29.4,57,745
30.1,59,753
4.6,8,646
18.79,33,633
29.4,57,698
18.79,52,997
26.66,57,770
27.48,56,686
21.82,51,785
2.9,8,837
4.6,9,571
3.94,8,524
4.6,8,286
4.6,10,1043
4.6,15,1413
11.41,56,1886
26.66,58,836
15.26,34,856
29.4,57,745
30.1,59,753
26.66,58,784
29.4,57,698
18.79,52,997
20.2,33,588
4.6,8,587
27.48,57,698
21.82,51,785
4.6,9,597
3.9,15,1047
3.94,8,541
3.94,8,541
2.9,8,613
4.6,8,296
2.9,8,410
15.28,45,428
4.6,10,980
4.6,8,777
4.6,9,832
2.9,8,1104
3.94,8,786
3.94,8,786
11.41,56,1886
15.26,34,856
29.4,57,745
30.1,59,753
26.82,58,830
26.82,58,779
18.79,52,997
27.48,58,710
21.82,53,816
4.6,20,1429
4.6,8,494
3.9,8,532
29.4,57,403
15.28,46,584
18.79,33,280
4.6,22,2252
3.9,8,936
2.9,10,1535
4.6,9,816
3.94,8,792
3.94,8,792
4.6,15,1268
11.41,56,1886
29.4,57,745
15.26,34,856
26.82,58,779
18.79,52,997
26.82,59,792
27.48,58,710
21.82,50,770
15.28,46,867
2.9,8,600
30.1,59,344
22.53,39,219
4.6,9,816
15.26,34,910
26.82,58,882
4.6,25,2153
3.94,10,982
26.82,58,831
29.4,57,745
11.41,58,1952
2.9,8,1056
18.79,51,977
21.82,50,770
3.94,8,648
3.94,8,648
2.9,8,870
16.1,45,872
4.6,15,925
3.9,8,520
23.41,39,400
27.48,58,414
4.6,12,1192
4.6,9,888
2.9,9,1384
3.94,8,868
3.94,8,868
3.9,10,1088
3.94,8,836
26.82,57,867
26.82,58,882
30.1,57,728
15.26,34,856
11.41,58,1952
2.9,8,1000
18.79,52,997
21.82,50,770
16.1,45,939
23.41,38,468
30.48,56,530
26.82,59,528
3.9,8,444
2.9,8,584
2.9,8,360
2.9,8,1272
4.6,9,848
3.94,12,1264
26.82,58,883
26.82,59,898
2.9,15,2088
30.1,58,741
15.26,34,856
11.41,58,1952
4.6,12,996
3.94,8,775
3.94,8,774
18.79,52,997
16.1,45,940
21.82,50,770
3.9,10,840
23.41,38,507
30.48,56,574
26.82,59,634
30.48,55,434
2.9,8,632
3.9,8,260
4.6,9,864
3.94,12,1329
26.82,59,950
4.6,12,1120
3.94,8,859
3.94,8,858
26.82,59,898
2.9,15,2040
15.26,34,856
30.1,58,740
11.41,58,1952
2.9,8,1004
21.82,50,826
18.79,52,997
3.9,8,730
30.48,57,629
23.41,38,546
16.1,45,939
26.82,59,686
30.48,57,566
3.9,8,552
3.9,8,552
2.9,8,528
4.6,9,867
2.9,10,1447
3.9,8,807
3.94,8,793
3.94,8,792
15.26,34,856
30.1,58,740
11.41,58,1952
4.6,8,657
3.94,12,1109
21.82,50,826
18.79,52,997
16.1,45,1006
26.82,59,792
26.82,59,792
26.82,58,727
30.48,57,629
23.41,38,546
30.48,57,584
2.9,8,832
3.9,8,616
3.9,8,616
2.9,15,1256
2.9,6,392
